,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
0,30-01-2004 19:01,1075469462,a,24.67,-40.33,1131.13,3.8,-44.13,0.407,N/A,2.8,6.01,29.56,11.97,24.95,47.81,12.803,17450000000,16520000000,25.83,3.84,2.73,N/A,2.73,2290000000,N/A,1790000000,3.774,N/A,0.8,1610000000,3.37,1150000000,2.04,5.93,144000000,2.474,10.01,63.03,9300000,3.923,2.17,6930000,underperform
1,13-04-2004 04:07,1081809431,a,20.75,-32.87,1129.44,3.93,-36.8,0.375,N/A,2.43,4.98,25.56,6.2,23.59,46.82,13.16,15320000000,14770000000,20.83,2.89,2.35,N/A,2.35,2290000000,N/A,1610000000,3.391,N/A,0.8,1680000000,3.49,1150000000,2.284,6.394,144000000,2.496,10,66.79,7520000,2.328,1.74,9170000,underperform
2,13-12-2004 21:37,1102954054,a,15.95,50.97,1198.68,5.74,45.23,0.323,33.58,1.61,3.24,4.86,5.38,5.26,10.92,14.61,11610000000,10370000000,15.79,1.62,1.44,15.3,1.44,2290000000,15.3,349000000,0.71,N/A,0.8,2320000000,4.75,1150000000,2.441,7.32,483000000,2.547,20,66.68,6930000,2.638,1.78,6540000,outperform
3,22-01-2005 05:17,1106351239,a,14.76,58.67,1184.63,8.48,50.19,0.322,30.7,1.52,3.04,4.86,5.38,5.26,10.92,14.61,10710000000,9760000000,14.34,1.51,1.36,14.4,1.36,3120000000,14.4,349000000,0.71,N/A,18.6,2320000000,4.71,1150000000,2.446,7.329,663000000,2.166,10.12,67.08,7040000,2.385,1.6,6930000,outperform
4,09-01-2006 02:35,1136754316,a,23.12,2.68,1290.15,9.45,-6.77,2.169,52.82,3.31,4.26,6.38,3.58,1.68,3.69,10.403,17120000000,14870000000,N/A,1.81,2.89,35.665,2.89,3120000000,35.665,141000000,0.66,64.9,22.8,2250000000,4.555,2.169,2.169,8.095,890000000,N/A,0.57,70.4,10980000,2.3,2.2,5840000,underperform
5,21-06-2006 11:01,1150867876,a,21.86,24.98,1252.2,21.56,3.42,0.368,5.08,2.53,3.37,56.5,9.38,12.15,28.88,11.414,13700000000,12620000000,N/A,1.26,2.33,7.549,2.33,2520000000,7.549,1150000000,6.33,21.1,12,2660000000,6.24,1500000000,2.565,9.563,725000000,2.75,5.99,74.8,6920000,3.4,1.6,4620000,outperform
6,19-08-2006 10:42,1155964321,a,21.42,6.82,1295.43,8.94,-2.12,0.396,4.63,2.54,3.38,56.57,8.99,4.54,34.26,12.408,13540000000,12260000000,N/A,1.21,2.18,17.215,2.18,2520000000,17.215,1330000000,6.87,118.3,13.9,2250000000,5.499,1500000000,2.513,9.563,652000000,2.76,6.24,72.7,7350000,2.5,1.8,9340000,underperform
7,20-02-2007 17:46,1171973816,a,22.68,-2.95,1459.68,-6.83,3.88,0.411,4.33,2.68,3.67,66.5,11.12,13.7,37.19,11.538,13220000000,12580000000,N/A,1.13,2.53,7.322,2.53,2660000000,7.322,1440000000,7.499,496,21,2260000000,5.556,1500000000,2.573,8.941,634000000,2.75,8.76,67.6,5910000,2.8,1.5,5150000,outperform
8,12-04-2007 05:07,1176334671,a,24.34,-13.6,1447.8,-7.94,-5.66,0.411,4.62,2.77,3.87,66.5,11.12,13.7,37.19,11.538,13970000000,12500000000,N/A,1.13,2.51,7.275,2.51,2660000000,7.275,1440000000,7.5,496,21,2260000000,5.556,1500000000,2.573,9.03,634000000,2.75,6.26,72,5910000,2.8,1.5,5150000,underperform
9,23-01-2008 19:28,1201096730,a,23.34,-43.49,1338.6,-38.18,-5.31,0.645,20.47,2.25,3.76,11.77,11.38,5.17,18.54,13.756,11950000000,12460000000,N/A,1.04,2.3,15.421,2.3,2970000000,15.421,638000000,1.57,20.8,8.9,1830000000,4.916,2090000000,2.207,8.741,969000000,1.55,1.49,73.8,3640000,1.9,1,3510000,underperform
10,14-02-2008 04:44,1202944474,a,22.02,-41.46,1348.86,-38.7,-2.76,0.645,20.8,2.18,3.64,11.77,11.38,5.17,18.54,13.756,12140000000,12090000000,N/A,1.02,2.23,14.966,2.23,2970000000,14.966,638000000,1.57,20.8,8.9,1830000000,4.916,2090000000,2.207,8.741,969000000,1.45,1.49,72.5,4890000,1.7,1.3,3640000,underperform
11,26-04-2008 04:49,1209165563,a,21.67,-47.16,1379.93,-38.26,-8.9,0.67,20.59,2.07,3.65,10.99,11.3,5.33,17.8,14.362,11510000000,12080000000,N/A,1,2.18,14.748,2.18,2970000000,14.748,608000000,1.53,20,8.8,1560000000,4.265,2130000000,1.896,8.622,880000000,1.46,4.68,68.3,5420000,2.1,1.5,N/A,underperform
12,06-12-2008 19:21,1228571493,a,12.71,63.1,870.74,26.32,36.78,0.83,9.24,1.06,2.4,12,13.77,6.63,23.93,15.906,6040000000,6740000000,N/A,0.64,1.17,6.764,1.17,2970000000,6.764,693000000,1.87,28.3,2.4,1430000000,4.083,2130000000,2.421,7.311,756000000,1.33,1.59,75.9,4340000,1.6,1.2,4420000,outperform
13,02-08-2009 05:46,1249172184,a,16.17,24.43,986.75,14.1,10.33,N/A,22.83,1.53,3.29,7.01,11.21,5.1,13.02,14.659,8710000000,8710000000,N/A,3.04,1.68,11.422,1.68,3200000000,11.422,363000000,1.02,N/A,25.1,1410000000,4.112,2150000000,2.623,7.045,581000000,1.25,0.26,78.6,9890000,3.2,2.9,8440000,outperform
14,02-08-2011 06:45,1312247737,a,27.19,-1.62,1254.05,9.67,-11.29,54.36,16.18,2.38,3.71,14.46,14.8,6.94,27,17.77,13850000000,13850000000,12.44,0.63,2.25,11.89,2.25,2930000000,11.89,890000000,2.52,85.2,31.9,2980000000,8.55,2150000000,3.2,11.36,13850000000,1.55,0.25,82.1,4360000,1.2,1.4,5420000,underperform
15,08-11-2011 05:04,1320708856,a,27.05,-2.51,1275.92,9.3,-11.81,51.62,13.17,1.98,3.06,15.71,16.01,7.25,28.96,18.67,12170000000,12170000000,12.06,0.66,1.88,9.42,1.88,2930000000,9.42,1020000000,2.87,61,22.2,3100000000,8.93,2170000000,3.47,12.07,12170000000,1.61,0.25,82.1,4500000,0.8,N/A,4140000,underperform
16,14-05-2013 00:28,1368471538,a,30.98,27.89,1650.34,-15.5,43.39,44.12,13.75,2.19,2.83,15.96,15.69,6.85,22.38,19.85,15060000000,15060000000,13.08,2.07,2.18,10.75,2.18,3600000000,10.75,1100000000,3.13,22.2,2.8,2450000000,7.06,2360000000,2.55,15.41,1320000000,1.66,0.23,83.2,4370000,1.2,1.3,3080000,outperform
17,06-09-2013 06:09,1378427992,a,33.48,23.24,1655.17,-15.75,38.99,56.39,17.74,2.32,3.31,13.73,14.04,5.98,19.41,19.8,15860000000,15860000000,15.09,2.16,2.32,11.93,2.32,3600000000,11.93,938000000,2.69,30.9,4.1,2330000000,7.04,2700000000,2.96,14.46,1260000000,1.81,0.23,83.5,2780000,1.2,0.8,3300000,outperform
18,13-04-2004 04:20,1081810210,aa,27.6,-7.28,1129.44,3.93,-11.21,0.595,24.92,1.33,2.41,6.4,8.44,4.52,10.66,25.638,29780000000,36340000000,12.98,1.26,1.65,10.8,1.65,4020000000,10.8,1190000000,1.375,53.7,11.4,459000000,0.53,7310000000,1.374,14.078,2530000000,1.808,1,79.36,12540000,2.497,1.46,12700000,underperform
19,09-09-2004 16:15,1094726745,aa,27.76,-17.76,1118.38,11.01,-28.77,0.561,20.88,1.26,2.34,7.04,9.46,5.08,11.87,25.984,28610000000,35240000000,12.75,1.43,1.56,9.7,1.56,4020000000,9.7,1370000000,1.575,53.7,11.4,466000000,0.54,6880000000,1.372,14.049,1780000000,1.676,1,76.64,7780000,1.935,0.9,7930000,underperform
20,24-11-2004 10:37,1101272840,aa,28.27,-19.14,1181.76,6.18,-25.32,0.53,21.15,1.26,2.34,7.01,9.57,5.13,11.58,26.536,29230000000,35370000000,13.49,1.47,1.52,9.53,1.52,4020000000,9.53,1390000000,1.588,53.7,11.4,561000000,0.64,6650000000,1.293,14.36,2140000000,1.736,1.04,77.19,9910000,2.209,1.15,10140000,underperform
